site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
P403 05NOV26 2005.9028 53700 1350 6 -124.1  -3046 -0.566879   5325357  0.305517   284  0.669295  0.0083 0.000708 0.001042 0.003097 -0.010952 -0.102636 -0.173641  48.0623218701 -124.1408751765   284.66929
P403 05NOV27 2005.9055 53701 1351 0 -124.1  -3046 -0.563989   5325357  0.306160   284  0.665942  0.0083 0.000709 0.001062 0.003057 -0.003234 -0.073148 -0.129786  48.0623218755 -124.1408751382   284.66594
P403 05NOV28 2005.9083 53702 1351 1 -124.1  -3046 -0.564937   5325357  0.308513   284  0.669806  0.0083 0.000703 0.001036 0.003048  0.013902 -0.100144 -0.163858  48.0623218963 -124.1408751515   284.66981
P403 05NOV29 2005.9110 53703 1351 2 -124.1  -3046 -0.565291   5325357  0.305045   284  0.669348  0.0083 0.000711 0.001050 0.003075  0.003798 -0.103379 -0.142909  48.0623218648 -124.1408751567   284.66935
P403 05NOV30 2005.9138 53704 1351 3 -124.1  -3046 -0.564601   5325357  0.305957   284  0.671486  0.0083 0.000708 0.001036 0.003062 -0.005061 -0.114320 -0.167064  48.0623218726 -124.1408751480   284.67149
P403 05DEC01 2005.9165 53705 1351 4 -124.1  -3046 -0.563845   5325357  0.309814   284  0.672046  0.0083 0.000714 0.001050 0.003046 -0.034458 -0.061702 -0.155815  48.0623219070 -124.1408751383   284.67205
P403 05DEC02 2005.9192 53706 1351 5 -124.1  -3046 -0.563247   5325357  0.309398   284  0.675914  0.0083 0.000714 0.001044 0.003075 -0.028790 -0.101960 -0.161589  48.0623219029 -124.1408751308   284.67591
P403 05DEC03 2005.9220 53707 1351 6 -124.1  -3046 -0.562918   5325357  0.309259   284  0.669251  0.0083 0.000706 0.001030 0.003060  0.004772 -0.112439 -0.182352  48.0623219013 -124.1408751269   284.66925
P403 05DEC04 2005.9247 53708 1352 0 -124.1  -3046 -0.562906   5325357  0.308262   284  0.668343  0.0083 0.000703 0.001031 0.003040  0.012950 -0.093647 -0.176507  48.0623218920 -124.1408751273   284.66834
P403 05DEC05 2005.9274 53709 1352 1 -124.1  -3046 -0.562172   5325357  0.308276   284  0.665931  0.0083 0.000700 0.001018 0.002990 -0.002954 -0.097366 -0.164782  48.0623218918 -124.1408751179   284.66593
P403 05DEC06 2005.9302 53710 1352 2 -124.1  -3046 -0.562415   5325357  0.309371   284  0.671893  0.0083 0.000700 0.001030 0.002981  0.006252 -0.092517 -0.142529  48.0623219013 -124.1408751217   284.67189
P403 05DEC07 2005.9329 53711 1352 3 -124.1  -3046 -0.562578   5325357  0.307498   284  0.672484  0.0083 0.000703 0.001041 0.003055 -0.013100 -0.078375 -0.172051  48.0623218841 -124.1408751244   284.67248
P403 05DEC08 2005.9357 53712 1352 4 -124.1  -3046 -0.562618   5325357  0.306417   284  0.671227  0.0083 0.000694 0.001028 0.002961 -0.003789 -0.092585 -0.148010  48.0623218740 -124.1408751254   284.67123
P403 05DEC09 2005.9384 53713 1352 5 -124.1  -3046 -0.563100   5325357  0.305650   284  0.670694  0.0083 0.000698 0.001039 0.003015 -0.013291 -0.091968 -0.153670  48.0623218667 -124.1408751324   284.67069
P403 05DEC10 2005.9411 53714 1352 6 -124.1  -3046 -0.562724   5325357  0.306203   284  0.667067  0.0083 0.000694 0.001021 0.002983 -0.013507 -0.096193 -0.156436  48.0623218714 -124.1408751279   284.66707
P403 05DEC11 2005.9439 53715 1353 0 -124.1  -3046 -0.564124   5325357  0.307581   284  0.662692  0.0083 0.000708 0.001031 0.003093  0.005124 -0.119373 -0.181101  48.0623218834 -124.1408751472   284.66269
P403 05DEC12 2005.9466 53716 1353 1 -124.1  -3046 -0.562921   5325357  0.308121   284  0.674461  0.0083 0.000700 0.001040 0.003057 -0.025662 -0.095638 -0.178212  48.0623218879 -124.1408751315   284.67446
